"namespace","key","English (source — do not edit)","Turkish (edit this column)"
"readings","readings.chalices-knight.present","Follow your heart — but keep one foot on the ground. A romantic or creative opportunity is presenting itself with great charm. Enjoy it, but stay awake.","Kalbini takip et — ama bir ayağını yerde tut. Büyük bir çekicilikle romantik ya da yaratıcı bir fırsat kendini gösteriyor. Tadını çıkar, ama uyanık kal."
"readings","readings.chalices-knight.future","A romantic figure or creative opportunity approaches. It will be appealing and heartfelt. Just remember: charm and substance aren't always the same thing.","Romantik bir figür ya da yaratıcı bir fırsat yaklaşıyor. Çekici ve samimi olacak. Sadece hatırla: çekicilik ve öz her zaman aynı şey değildir."
"readings","readings.chalices-queen.keywords","compassion, emotional depth, intuition, nurturing","şefkat, duygusal derinlik, sezgi, besleme"
"readings","readings.chalices-queen.meaning","The Queen of Chalices sits at the water's edge, holding an ornate cup. She feels everything — and somehow doesn't drown. Deep emotional intelligence, compassion without losing herself.","Kupa Kraliçesi süslü bir kadeh tutarak suyun kenarında oturur. Her şeyi hisseder — ve bir şekilde boğulmaz. Derin duygusal zeka, kendini kaybetmeden şefkat."
"readings","readings.chalices-queen.past","A deeply compassionate figure influenced your life — someone who understood emotions intuitively and held space without judgment.","Derin şefkatli bir figür hayatını etkiledi — duyguları sezgisel olarak anlayan ve yargılamadan alan biri."
"readings","readings.chalices-queen.present","Lead with empathy right now. The situation calls for emotional intelligence, not logic. Trust your feelings — they're reading the room better than your mind.","Şu anda empatiyle yönet. Durum mantıktan çok duygusal zeka istiyor. Duygularına güven — odayı aklından daha iyi okuyorlar."
"readings","readings.chalices-queen.future","You're growing into deeper emotional wisdom. The ability to feel deeply without being consumed is developing — and it will serve you well.","Daha derin duygusal bilgeliğe büyüyorsun. Tüketilmeden derinden hissetme yeteneği gelişiyor — ve sana iyi hizmet edecek."
"readings","readings.chalices-king.keywords","emotional maturity, diplomacy, calm, wisdom","duygusal olgunluk, diplomasi, sakinlik, bilgelik"
"readings","readings.chalices-king.meaning","The King of Chalices sits on his throne amid turbulent waters, perfectly calm. He feels everything but rules it rather than being ruled by it. Emotional mastery — deep water, steady hand.","Kupa Kralı çalkantılı suların ortasında tahtında oturur, tamamen sakin. Her şeyi hisseder ama onunla yönetilmek yerine onu yönetir. Duygusal ustalık — derin su, sağlam el."
"readings","readings.chalices-king.past","Emotional mastery was learned, likely through difficult experience. Someone — maybe you — learned to navigate deep feelings without capsizing.","Duygusal ustalık öğrenildi, muhtemelen zor bir deneyim aracılığıyla. Biri — belki sen — derin duygularda alabora olmadan yol almayı öğrendi."
"readings","readings.chalices-king.present","Stay calm in the emotional current. You can feel deeply and still make wise decisions. Don't suppress — govern.","Duygusal akıntıda sakin kal. Derin hissedip yine de akıllıca kararlar verebilirsin. Bastırma — yönet."
"readings","readings.chalices-king.future","Emotional maturity will be your greatest asset in what's coming. The waters will be deep, but you'll navigate them with skill.","Gelen durumda duygusal olgunluk en büyük varlığın olacak. Sular derin olacak, ama onlarda ustalıkla yol alacaksın."
"readings","readings.swords-1.keywords","clarity, breakthrough, truth, new idea","netlik, atılım, gerçek, yeni fikir"
"readings","readings.swords-1.meaning","The Ace of Swords cuts through the fog — one blade, one truth. A breakthrough in thinking, a flash of clarity, the moment when confusion parts and you see things as they are.","Kılıç Ası sisi keser — tek bıçak, tek gerçek. Düşüncede bir atılım, bir netlik parıltısı, karmaşanın ayrıldığı ve her şeyi olduğu gibi gördüğün an."
"readings","readings.swords-1.past","A moment of sudden clarity changed everything. An idea, a truth, a realization cut through the noise and gave you direction.","Ani bir netlik anı her şeyi değiştirdi. Bir fikir, bir gerçek, bir farkındalık gürültüyü kesti ve sana yön verdi."
"readings","readings.swords-1.present","The truth is available to you right now — sharp and clear. Cut through the confusion. Say what needs to be said. Think clearly.","Gerçek şu anda senin için erişilebilir — keskin ve net. Karışıklığı kes. Söylenmesi gerekeni söyle. Net düşün."
"readings","readings.swords-1.future","A breakthrough is coming. Mental clarity, a new idea, or a truth you've been circling will suddenly snap into focus.","Bir atılım geliyor. Zihinsel netlik, yeni bir fikir ya da etrafında döndüğün bir gerçek aniden odağa girecek."
"readings","readings.swords-2.keywords","indecision, stalemate, avoidance, difficult choice","kararsızlık, çıkmaz, kaçınma, zor seçim"
"readings","readings.swords-2.meaning","A blindfolded figure holds two crossed swords, the sea calm behind them. Paralysis by analysis. Two options, no movement. The blindfold isn't ignorance — it's avoidance. Pick a sword.","Gözü bağlı bir figür çapraz iki kılıç tutar, deniz arkasında sakindir. Analizle felç. İki seçenek, hareket yok. Gözbağı cehalet değil — kaçınma. Bir kılıç seç."
"readings","readings.swords-2.past","A period of indecision kept you stuck. You couldn't — or wouldn't — choose, and the stalemate cost you time.","Bir kararsızlık dönemi seni tuttu. Seçemedin — ya da seçmeyecektin — ve çıkmaz sana zaman kaybettirdi."
"readings","readings.swords-2.present","You're avoiding a decision. The two options aren't going to resolve themselves. Remove the blindfold and choose.","Bir karardan kaçınıyorsun. İki seçenek kendiliğinden çözülmeyecek. Gözbağını çıkar ve seç."
"readings","readings.swords-2.future","A difficult choice is ahead. The temptation will be to avoid it, to stay balanced between two sides. Don't. Choose and move.","Önde zor bir seçim var. İki taraf arasında dengede kalmak, ondan kaçınmak cazip olacak. Bunu yapma. Seç ve hareket et."
"readings","readings.swords-3.keywords","heartbreak, sorrow, grief, painful truth","kalp kırıklığı, keder, acı, acı gerçek"
"readings","readings.swords-3.meaning","Three swords through a heart. There's no gentle way to read this — it's pain. Heartbreak, betrayal, a truth that cuts. But the rain clears. This is the wound, not the whole story.","Bir kalbin içinden üç kılıç. Bunu nazikçe okumanın bir yolu yok — bu acıdır. Kalp kırıklığı, ihanet, kesen bir gerçek. Ama yağmur diniyor. Bu yara, hikayenin tamamı değil."
"readings","readings.swords-3.past","A deep hurt — betrayal, heartbreak, or a painful truth — left its mark. The wound may have healed, but the scar taught you something.","Derin bir acı — ihanet, kalp kırıklığı ya da acı bir gerçek — iz bıraktı. Yara iyileşmiş olabilir, ama iz sana bir şey öğretti."
"readings","readings.swords-3.present","Something is causing real pain. Don't minimize it or rush past it. Feel it fully, then let it begin to heal.","Bir şey gerçek acıya neden oluyor. Küçümseme ya da hızla geçme. Tam hisset, sonra iyileşmeye başlamasına izin ver."
"readings","readings.swords-3.future","A painful experience is ahead. It will hurt, but it will also be honest. Better a clean cut than a slow rot.","Önde acılı bir deneyim var. Acıtacak, ama aynı zamanda dürüst olacak. Yavaş çürümektense temiz bir kesik daha iyi."
"readings","readings.swords-4.keywords","rest, recovery, contemplation, retreat","dinlenme, iyileşme, tefekkür, inziva"
"readings","readings.swords-4.meaning","A figure lies on a stone slab, three swords on the wall, one beneath. Rest after battle. This isn't laziness — it's necessary recovery. Put down the sword. Your mind needs silence.","Bir figür taş bir levhada yatıyor, duvarda üç kılıç, altında bir tane. Savaştan sonra dinlenme. Bu tembellik değil — gerekli iyileşmedir. Kılıcı bırak. Zihnin sessizliğe ihtiyacı var."
"readings","readings.swords-4.past","A period of forced or chosen rest followed a difficult time. That pause was more productive than it felt — the mind healed in the quiet.","Zor bir zamandan sonra zorunlu ya da seçilmiş bir dinlenme dönemi geldi. O duraklama hissettirdiğinden daha üretkendi — zihin sessizlikte iyileşti."
"readings","readings.swords-4.present","Rest. You've been fighting — mentally, emotionally, or both. The battle can wait. Recover your strength before the next round.","Dinlen. Savaşıyordun — zihinsel, duygusal ya da her ikisi. Savaş bekleyebilir. Bir sonraki raunttan önce gücünü topla."
"readings","readings.swords-4.future","A period of necessary retreat is coming. Don't resist it. The recovery will prepare you for what follows.","Gerekli bir geri çekilme dönemi geliyor. Direnme. İyileşme seni sonrasına hazırlayacak."
"readings","readings.swords-5.keywords","conflict, defeat, hostility, winning at cost","çatışma, yenilgi, düşmanlık, bedel ödeyerek kazanma"
"readings","readings.swords-5.meaning","Five swords, a smirking victor, defeated figures walking away. Someone won — but at what cost? This card asks: was the victory worth the damage? Winning isn't always winning.","Beş kılıç, sırıtan bir galip, yenilgiye uğramış figürler uzaklaşıyor. Biri kazandı — ama ne pahasına? Bu kart sorar: zafer hasara değdi mi? Kazanmak her zaman kazanmak değildir."
"readings","readings.swords-5.past","A conflict left wreckage. Someone won, someone lost, and the aftermath was bitter. The victory may have cost more than it was worth.","Bir çatışma enkaz bıraktı. Biri kazandı, biri kaybetti ve sonrası acıydı. Zafer, değerinden daha fazlasına mal olmuş olabilir."
"readings","readings.swords-5.present","A conflict is playing out. Before you fight to win, ask yourself what you're actually gaining — and what you're destroying in the process.","Bir çatışma sürüyor. Kazanmak için savaşmadan önce kendine sor — gerçekten ne kazanıyorsun ve süreçte neyi yok ediyorsun."
"readings","readings.swords-5.future","A confrontation is ahead. Pick your battles carefully. Some fights aren't worth the prize, and some victories leave you emptier than defeat.","Önde bir yüzleşme var. Savaşlarını dikkatle seç. Bazı kavgalar ödüle değmez ve bazı zaferler seni yenilgiden daha boş bırakır."
"readings","readings.swords-6.keywords","transition, moving on, leaving behind, recovery","geçiş, ilerleme, geride bırakma, iyileşme"
"readings","readings.swords-6.meaning","A boatman carries passengers and six swords across calm water. Moving away from something difficult — not running, but deliberately leaving rough waters behind. The journey isn't over, but the worst is.","Bir kayıkçı yolcuları ve altı kılıcı sakin suların karşısına taşır. Zor bir şeyden uzaklaşmak — kaçmak değil, kasıtlı olarak dalgalı suları geride bırakmak. Yolculuk bitmedi, ama en kötüsü bitti."
"readings","readings.swords-6.past","You moved on from a painful situation. The departure was quiet and necessary — carrying your burdens to calmer shores.","Acılı bir durumdan uzaklaştın. Ayrılış sessiz ve gerekliydi — yüklerini daha sakin kıyılara taşımak."
"readings","readings.swords-6.present","It's time to leave a difficult situation behind. Not dramatically — just get in the boat and go. Calmer waters are ahead.","Zor bir durumu geride bırakma zamanı. Dramatik değil — sadece tekneye bin ve git. Daha sakin sular önünde."
"readings","readings.swords-6.future","A transition away from difficulty is coming. It will be gradual, not sudden, but the direction is toward peace.","Zorluktan uzaklaşan bir geçiş geliyor. Ani değil, kademeli olacak ama yön huzura doğru."
"readings","readings.swords-7.keywords","deception, strategy, stealth, getting away with it","aldatma, strateji, gizlilik, yırtıp kaçmak"
"readings","readings.swords-7.meaning","A figure sneaks away with five swords, two still planted in the ground. Cleverness or theft? Strategy or deception? This card doesn't judge — it just asks: are you being smart, or are you being dishonest?","Bir figür beş kılıçla sinsice uzaklaşıyor, ikisi hâlâ toprağa saplı. Zeka mı yoksa hırsızlık mı? Strateji mi yoksa aldatma mı? Bu kart yargılamaz — sadece sorar: akıllı mı davranıyorsun, yoksa dürüstsüz mü?"
"readings","readings.swords-7.past","Someone took a shortcut — maybe you, maybe someone else. It worked at the time, but the ethics of it still linger.","Biri kısa yola girdi — belki sen, belki biri başka. O zaman işe yaradı, ama etiği hâlâ uzanıyor."
"readings","readings.swords-7.present","Check your strategy. There's a fine line between clever and deceptive. If you have to sneak, ask yourself why.","Stratejini kontrol et. Akıllıca ile aldatıcı arasındaki çizgi incedir. Sinsice davranman gerekiyorsa kendine neden diye sor."
"readings","readings.swords-7.future","Someone may not be playing straight with you — or you'll be tempted to cut corners. Keep your integrity intact, even when nobody's watching.","Biri seninle dürüstçe oynamıyor olabilir — ya da sen köşe kesmeye yöneleceksin. Kimse izlemese bile dürüstlüğünü koru."
"readings","readings.swords-8.keywords","restriction, imprisonment, powerlessness, self-imposed limits","kısıtlama, hapsolma, güçsüzlük, kendi koyduğu sınırlar"
"readings","readings.swords-8.meaning","Eight swords surround a bound, blindfolded figure. It looks hopeless — but look closer. The bindings are loose. The path out is open. The prison is mostly in the mind.","Sekiz kılıç bağlanmış, gözü bağlı bir figürü çevreler. Umutsuz görünüyor — ama daha yakından bak. Bağlar gevşek. Çıkış yolu açık. Hapishane çoğunlukla akıldadır."
"readings","readings.swords-8.past","You felt trapped — by circumstances, by people, by your own thoughts. But the cage was never as locked as it seemed.","Tuzağa düşmüş hissettin — koşullar tarafından, insanlar tarafından, kendi düşüncelerin tarafından. Ama kafes hiçbir zaman göründüğü kadar kilitli değildi."
"readings","readings.swords-8.present","You're more stuck in your head than in reality. The restrictions you're feeling are at least partly self-imposed. Open your eyes — the way out exists.","Gerçekte olduğundan çok kafanda takılısın. Hissettiğin kısıtlamalar en azından kısmen kendi kendine koyduğun. Gözlerini aç — çıkış yolu var."
"readings","readings.swords-8.future","A situation will make you feel powerless. Before you accept defeat, look again. The constraints aren't as real as they appear.","Bir durum seni güçsüz hissettirecek. Yenilgiyi kabul etmeden önce tekrar bak. Kısıtlamalar göründükleri kadar gerçek değil."
"readings","readings.swords-9.keywords","anxiety, worry, nightmares, despair","kaygı, endişe, kabuslar, umutsuzluk"
"readings","readings.swords-9.meaning","A figure sits up in bed, head in hands, nine swords on the wall behind them. The three AM card. Anxiety, racing thoughts, the kind of worry that wakes you up. Most of what you fear won't happen — but the fear is real.","Bir figür yatakta başını ellerinin arasına alarak oturuyor, arkasındaki duvarda dokuz kılıç. Gecenin üçü kartı. Kaygı, yarışan düşünceler, seni uyandıran türden endişe. Korktuğun çoğu şey olmayacak — ama korku gerçek."
"readings","readings.swords-9.past","A period of intense worry or sleepless nights took its toll. The anxiety was disproportionate to the actual threat, but it felt crushing at the time.","Yoğun bir endişe ya da uykusuz gece dönemi bedel aldı. Kaygı gerçek tehdide orantısızdı ama o zaman ezici hissettiriyordu."
"readings","readings.swords-9.present","Your mind is torturing you. The fears feel enormous in the dark — but most of them are shadows. Daylight will shrink them. Hold on.","Zihnin sana işkence ediyor. Korkular karanlıkta muazzam hissettiriyor — ama çoğu gölge. Gün ışığı onları küçültecek. Dayan."
"readings","readings.swords-9.future","Anxiety may spike ahead. Remember: the nine swords are on the wall, not in your body. The fear is real, but the danger may not be.","Kaygı önde yükselebilir. Hatırla: dokuz kılıç duvarda, bedeninde değil. Korku gerçek ama tehlike gerçek olmayabilir."
"readings","readings.swords-10.keywords","ending, rock bottom, betrayal, total defeat","son, dibe vurma, ihanet, tam yenilgi"
"readings","readings.swords-10.meaning","Ten swords in the back — the most dramatic card in the deck. Complete ending, total defeat. But here's the thing: after ten swords, there are no more swords. The worst is over. There's nowhere to go but up.","Sırtta on kılıç — destedeki en dramatik kart. Tam son, tam yenilgi. Ama şu var: on kılıçtan sonra daha kılıç yok. En kötüsü bitti. Yukarıdan başka gidecek yer yok."
"readings","readings.swords-10.past","Something ended catastrophically. Betrayal, collapse, hitting the absolute bottom. It was terrible — and it was the end of that chapter, not your story.","Bir şey feci şekilde sona erdi. İhanet, çöküş, tam dibe vurmak. Berbattı — ve o bölümün sonuydu, hikayenin değil."
"readings","readings.swords-10.present","This is the worst of it. Right now. The good news is that it can't get worse, which means it can only get better. Let the old thing die completely.","Bu en kötüsü. Tam şu an. İyi haber şu ki daha kötüye gidemez, yani sadece iyiye gidebilir. Eski olanın tamamen ölmesine izin ver."
"readings","readings.swords-10.future","A painful ending is ahead. It will feel like too much. But this is the clearing — dramatic, final, and ultimately liberating.","Önde acılı bir son var. Çok fazla gibi hissettirecek. Ama bu temizlik — dramatik, kesin ve sonuç olarak özgürleştirici."
"readings","readings.swords-page.keywords","curiosity, mental agility, new ideas, vigilance","merak, zihinsel çeviklik, yeni fikirler, uyanıklık"
"readings","readings.swords-page.meaning","A young figure holds a sword aloft, standing on rough ground, watching the sky. Sharp mind, restless curiosity, eager to cut through to the truth. Just needs a bit more experience to wield the blade well.","Genç bir figür kılıcı yukarı kaldırıp engebeli arazide duruyor, gökyüzünü izliyor. Keskin zihin, huzursuz merak, gerçeğe kesmeye istekli. Bıçağı iyi kullanmak için biraz daha deneyime ihtiyacı var."
"readings","readings.swords-page.past","A moment of intellectual awakening — a new idea or a challenging truth that got your mind racing. That curiosity opened doors.","Entelektüel bir uyanış anı — zihnini yarıştıran yeni bir fikir ya da meydan okuyucu bir gerçek. O merak kapılar açtı."
"readings","readings.swords-page.present","Stay mentally sharp. New information is coming and you'll need to think fast. Be curious, be alert, but don't jump to conclusions.","Zihinsel olarak keskin kal. Yeni bilgi geliyor ve hızlı düşünmen gerekecek. Meraklı ol, uyanık ol, ama sonuca atlama."
"readings","readings.swords-page.future","News or a new perspective is on its way. It will challenge your thinking — in a good way. Stay open and keep your mind nimble.","Yolunda bir haber ya da yeni bir bakış açısı var. Düşünmeni meydan okuyacak — iyi bir şekilde. Açık kal ve zihnini çevik tut."
"readings","readings.swords-knight.keywords","ambition, speed, direct action, aggression","hırs, hız, doğrudan eylem, saldırganlık"
"readings","readings.swords-knight.meaning","The Knight of Swords charges at full speed, blade raised, no hesitation. Fast thinking, fast action, decisive and unstoppable. Effective — but sometimes the charge happens before the thinking.","Kılıç Şövalyesi tam hızla hücum eder, bıçağı kalkmış, tereddütsüz. Hızlı düşünme, hızlı eylem, kararlı ve durdurulamaz. Etkili — ama bazen hücum düşünmeden önce gerçekleşir."
"readings","readings.swords-knight.past","A rushed decision or aggressive action got results — but not without collateral damage. Speed is a strength until it isn't.","Acele bir karar ya da saldırgan bir eylem sonuç verdi — ama kaybolmadan değil. Hız, olmayana kadar bir güçtür."
"readings","readings.swords-knight.present","Move quickly and decisively. The situation calls for sharp action, not deliberation. Just make sure you're charging toward the right target.","Hızlı ve kararlı hareket et. Durum keskin eylem istiyor, uzun düşünme değil. Sadece doğru hedefe hücum ettiğinden emin ol."
"readings","readings.swords-knight.future","Something will demand fast, decisive action. You'll need to think and move simultaneously. Trust your instincts but watch your aim.","Bir şey hızlı, kararlı eylem talep edecek. Aynı anda düşünmen ve hareket etmen gerekecek. İçgüdülerine güven ama nişanına dikkat et."
"readings","readings.swords-queen.keywords","clarity, independence, perception, direct communication","netlik, bağımsızlık, algı, doğrudan iletişim"
"readings","readings.swords-queen.meaning","The Queen of Swords sits with blade raised, face clear and unreadable. She's been through pain and emerged sharper for it. Clear thinking, direct speech, zero tolerance for nonsense.","Kılıç Kraliçesi kılıcı kalkık, yüzü net ve okunamaz oturur. Acıdan geçti ve daha keskin çıktı. Net düşünme, doğrudan konuşma, saçmalığa sıfır tolerans."
"readings","readings.swords-queen.past","Experience — likely painful — honed your ability to see through pretense. That clarity was earned the hard way and it serves you well.","Deneyim — muhtemelen acılı — saçma görünmezin içinden geçme yeteneğini biledi. O netlik zor yoldan kazanıldı ve sana iyi hizmet ediyor."
"readings","readings.swords-queen.present","Think clearly. Speak directly. The situation needs honesty, not diplomacy. Cut through the noise and say exactly what you mean.","Net düşün. Doğrudan konuş. Durum dürüstlük istiyor, diplomasi değil. Gürültüyü kes ve tam olarak ne demek istediğini söyle."
"readings","readings.swords-queen.future","You'll need to channel cold clarity ahead. Emotions will be running high around you, but your ability to see the truth plainly will be your greatest asset.","Önde soğuk netlik kanalize etmen gerekecek. Etrafında duygular yüksek olacak, ama gerçeği sade şekilde görme yeteneğin en büyük varlığın olacak."
"readings","readings.swords-king.keywords","authority, intellect, truth, analytical power","otorite, zeka, gerçek, analitik güç"
"readings","readings.swords-king.meaning","The King of Swords holds his blade upright — judgment, authority, intellectual command. He makes decisions with his head, not his heart. Fair, sharp, and not easily fooled.","Kılıç Kralı bıçağını dik tutar — yargı, otorite, entelektüel komuta. Kararları kalbiyle değil, kafasıyla verir. Adil, keskin ve kolay aldanmaz."
"readings","readings.swords-king.past","An authority figure or your own analytical mind cut through confusion and imposed order. That intellectual clarity shaped outcomes decisively.","Bir otorite figürü ya da kendi analitik zihnin karışıklığı kesti ve düzen dayattı. O entelektüel netlik sonuçları kararlı biçimde şekillendirdi."
"readings","readings.swords-king.present","Lead with logic. The situation demands clear, rational thinking and fair judgment. Leave emotion at the door and decide with your mind.","Mantıkla yönet. Durum net, akılcı düşünme ve adil yargı talep ediyor. Duyguları kapıda bırak ve zihninle karar ver."
"readings","readings.swords-king.future","A decision requiring sharp intellect and impartial judgment is ahead. Trust your analytical ability — it's up to the task.","Keskin zeka ve tarafsız yargı gerektiren bir karar önde. Analitik yeteneğine güven — görevin üstesinden gelecek."
"readings","readings.pentacles-1.keywords","opportunity, prosperity, new venture, manifestation","fırsat, refah, yeni girişim, tezahür"
"readings","readings.pentacles-1.meaning","A golden coin in an outstretched hand, emerging from a cloud. A material opportunity — money, a job, a venture. It's being offered, but you'll need to do something with it. Potential doesn't spend itself.","Buluttan çıkan uzatılmış bir elde altın bir sikke. Maddi bir fırsat — para, iş, girişim. Sunuluyor, ama onunla bir şey yapman gerek. Potansiyel kendiliğinden harcanmaz."
"readings","readings.pentacles-1.past","An opportunity presented itself — financial, professional, or material. What you did with that seed determined a lot about where you are now.","Bir fırsat kendini gösterdi — finansal, profesyonel ya da maddi. O tohumla ne yaptığın şu anda nerede olduğun hakkında çok şey belirledi."
"readings","readings.pentacles-1.present","A tangible opportunity is in your hands. A new venture, a financial prospect, something solid. Don't just admire it — plant it.","Ellerinde somut bir fırsat var. Yeni bir girişim, finansal bir olasılık, sağlam bir şey. Sadece hayran olma — ek."
"readings","readings.pentacles-1.future","A material opportunity is coming. Money, work, or a practical venture. Be ready to act on it when it arrives.","Maddi bir fırsat geliyor. Para, iş ya da pratik bir girişim. Geldiğinde harekete geçmeye hazır ol."
"readings","readings.pentacles-2.keywords","balance, adaptability, juggling priorities, time management","denge, uyum sağlama, öncelikleri dengeleme, zaman yönetimi"
"readings","readings.pentacles-2.meaning","Two coins juggled in a figure-eight — the infinity loop. Multiple demands, limited hands. This card is about managing competing priorities without dropping anything. Flexible, but stretched.","Sonsuzluk ilmeğinde jonglörlenen iki sikke. Birden fazla talep, sınırlı el. Bu kart hiçbir şeyi düşürmeden rekabet eden öncelikleri yönetmekle ilgilidir. Esnek, ama gerilmiş."
"readings","readings.pentacles-2.past","You juggled multiple demands and somehow kept everything in the air. That balancing act was exhausting but taught you adaptability.","Birden fazla talebi jonglörledi ve bir şekilde her şeyi havada tuttun. O dengeleme eylemi yorucuydu ama sana uyum sağlamayı öğretti."
"readings","readings.pentacles-2.present","You're managing too many things at once. It's working for now, but something will drop if you don't prioritize. Choose what matters most.","Aynı anda çok fazla şeyi yönetiyorsun. Şimdilik işe yarıyor, ama önceliklendirmezsen bir şey düşecek. Neyin en önemli olduğunu seç."
"readings","readings.pentacles-2.future","Multiple demands will compete for your attention. You'll need to be flexible and strategic about where your energy goes.","Birden fazla talep dikkatin için yarışacak. Enerjinin nereye gittiği konusunda esnek ve stratejik olman gerekecek."
"readings","readings.pentacles-3.keywords","teamwork, craftsmanship, collaboration, skill building","takım çalışması, ustalık, işbirliği, beceri geliştirme"
"readings","readings.pentacles-3.meaning","Three figures working on a cathedral — each contributing their skill to something larger. Collaboration, craftsmanship, the satisfaction of building something real with others. The work matters.","Bir katedralde çalışan üç figür — her biri kendi becerisini daha büyük bir şeye katkıda bulunuyor. İşbirliği, ustalık, başkalarıyla gerçek bir şey inşa etmenin tatmini. İş önemlidir."
"readings","readings.pentacles-3.past","Collaboration produced something lasting. Working alongside others — each bringing their skills — created something none of you could have built alone.","İşbirliği kalıcı bir şey üretti. Diğerleriyle yan yana çalışmak — her biri becerisini getirerek — hiçbirinizin tek başına inşa edemeyeceği bir şey yarattı."
"readings","readings.pentacles-3.present","This is teamwork time. Bring your skills to the table and trust others to bring theirs. The project is bigger than any one person.","Bu takım çalışması zamanı. Becerilerini masaya getir ve diğerlerinin kendilerininkini getireceklerine güven. Proje herhangi bir kişiden büyük."
"readings","readings.pentacles-3.future","A collaborative effort is forming. Your specific skills will be valued and needed. The work ahead is meaningful — commit to it.","İşbirlikçi bir çaba oluşuyor. Belirli becerilerin değerli olacak ve gerekli olacak. Önümüzdeki iş anlamlı — kendini adayla."
"readings","readings.pentacles-4.keywords","security, control, possessiveness, hoarding","güvenlik, kontrol, sahiplenme, biriktirme"
"readings","readings.pentacles-4.meaning","A figure clutches four coins — one under each foot, one on the head, one in the arms. Holding on tight. Security is good, but this is grip, not stewardship. What are you so afraid of losing?","Bir figür dört sikkeyi sıkıca tutar — her ayağının altında bir, başında bir, kollarında bir. Sıkı tutuyor. Güvenlik iyidir, ama bu kavramadır, vekillik değil. Kaybetmekten bu kadar korktuğun ne?"
"readings","readings.pentacles-4.past","A period of holding on too tightly — to money, to security, to control. The fear of loss made you rigid when flexibility was needed.","Çok sıkı tutma dönemi — paraya, güvenliğe, kontrole. Kayıp korkusu esneklik gerektiğinde seni katılaştırdı."
"readings","readings.pentacles-4.present","You're gripping too hard. The desire for security has become possessiveness. Loosen your hold — what's truly yours won't leave.","Çok sıkı kavrıyorsun. Güvenlik arzusu sahiplenici hale geldi. Tutuşunu gevşet — gerçekten senin olan ayrılmayacak."
"readings","readings.pentacles-4.future","Be careful of becoming too attached to material security. Some generosity or openness will serve you better than a clenched fist.","Maddi güvenliğe çok bağlanmamaya dikkat et. Biraz cömertlik ya da açıklık sana sıkılmış bir yumruktan daha iyi hizmet edecek."
"readings","readings.pentacles-5.keywords","hardship, poverty, isolation, worry","zorluk, yoksulluk, izolasyon, endişe"
"readings","readings.pentacles-5.meaning","Two figures in the snow, barefoot, passing a lit church window. Material hardship, feeling left out in the cold. The help may be closer than it looks — but you have to be willing to ask for it.","Karda iki figür, yalınayak, aydınlatılmış bir kilise penceresinin yanından geçiyor. Maddi zorluk, soğukta dışlanmış hissetmek. Yardım göründüğünden daha yakın olabilir — ama istemeye istekli olman gerek."
"readings","readings.pentacles-5.past","A period of real hardship — financial, physical, or both. The isolation was painful, and recovery took time and humility.","Gerçek zorluk dönemi — finansal, fiziksel ya da her ikisi. İzolasyon acılıydı ve iyileşme zaman ve alçakgönüllülük aldı."
"readings","readings.pentacles-5.present","Things are lean right now. You may feel left out in the cold. But look around — support exists. Pride might be the only thing keeping you from it.","İşler şu anda zayıf. Soğukta dışlanmış hissedebilirsin. Ama etrafına bak — destek var. Gurur, seni ondan alıkoyan tek şey olabilir."
"readings","readings.pentacles-5.future","A difficult stretch is ahead materially. Prepare where you can, and don't be too proud to ask for help when you need it.","Önde maddi olarak zor bir süreç var. Yapabildiğin yerde hazırlan ve ihtiyacın olduğunda yardım istemek için fazla gururlu olma."
"readings","readings.pentacles-6.keywords","generosity, charity, giving, receiving, balance of resources","cömertlik, hayırseverlik, vermek, almak, kaynak dengesi"
"readings","readings.pentacles-6.meaning","A wealthy figure distributes coins to those in need — scales in one hand, coins in the other. Giving and receiving, the flow of resources. This card asks: are you the giver or the receiver? Either is fine.","Varlıklı bir figür ihtiyacı olanlara sikke dağıtır — bir elinde terazi, diğerinde sikkeler. Vermek ve almak, kaynakların akışı. Bu kart sorar: veren sen misin yoksa alan mı? Her ikisi de uygundur."
"readings","readings.pentacles-6.past","An act of generosity — given or received — made a real difference. That exchange of resources was more meaningful than the amount suggested.","Bir cömertlik eylemi — verilen ya da alınan — gerçek bir fark yarattı. O kaynak değişimi, miktarın önerdiğinden daha anlamlıydı."
"readings","readings.pentacles-6.present","Resources are flowing. If you have enough, share. If you need help, accept it gracefully. The balance of giving and receiving is the point.","Kaynaklar akıyor. Yeterin varsa paylaş. Yardıma ihtiyacın varsa zarafetle kabul et. Vermek ve almak dengesi mesele."
"readings","readings.pentacles-6.future","Generosity will play a role ahead — either yours or someone else's. The flow of resources is shifting in a direction that benefits you.","Cömertlik önde bir rol oynayacak — ya senin ya da başkasının. Kaynakların akışı sana fayda sağlayacak yönde kayıyor."
"readings","readings.pentacles-7.keywords","patience, perseverance, investment, long-term view","sabır, azim, yatırım, uzun vadeli görüş"
"readings","readings.pentacles-7.meaning","A figure leans on a hoe, looking at seven coins growing on a bush. Waiting. The investment has been made, the work has been done — now it's about patience. You can't rush a harvest.","Bir figür çapaya yaslanıyor, bir çalıda büyüyen yedi sikkeye bakıyor. Bekleme. Yatırım yapıldı, iş yapıldı — şimdi sabır zamanı. Hasadı acele ettiremezsin."
