"namespace","key","English (source — do not edit)","Norwegian (edit this column)"
"readings","readings.swords-1.meaning","The Ace of Swords cuts through the fog — one blade, one truth. A breakthrough in thinking, a flash of clarity, the moment when confusion parts and you see things as they are.","Sverdenes ess skjærer gjennom tåken med et eneste, avgjørende hugg. Mental klarhet, sannhet, et gjennombrudd. Tankesinnet er skarpt — bruk det til å kutte gjennom forvirringen."
"readings","readings.swords-1.past","A moment of sudden clarity changed everything. An idea, a truth, a realization cut through the noise and gave you direction.","Et øyeblikk av rå klarhet skar gjennom all forvirring og viste deg sannheten. Det mentale gjennombruddet endret hvordan du forstår ting."
"readings","readings.swords-1.present","The truth is available to you right now — sharp and clear. Cut through the confusion. Say what needs to be said. Think clearly.","Sannheten er tilgjengelig akkurat nå — om du tør å se den. Skjær gjennom tåken, vær ærlig, se klart. Sverdets kraft er presisjon."
"readings","readings.swords-1.future","A breakthrough is coming. Mental clarity, a new idea, or a truth you've been circling will suddenly snap into focus.","Et mentalt gjennombrudd nærmer seg. Klarhet vil komme plutselig og skarpt, og kutte gjennom alt som har vært uklart. Vær klar til å handle på det."
"readings","readings.swords-2.keywords","indecision, stalemate, avoidance, difficult choice","beslutningsvegring, pattsituasjon, blokkert sannhet, indre konflikt"
"readings","readings.swords-2.meaning","A blindfolded figure holds two crossed swords, the sea calm behind them. Paralysis by analysis. Two options, no movement. The blindfold isn't ignorance — it's avoidance. Pick a sword.","Sverdenes toer sitter med bind for øynene, to sverd krysset i balanse. En avgjørelse unngås, sannhet blokkeres. Du vet hva du må velge — du vil bare ikke se det ennå."
"readings","readings.swords-2.past","A period of indecision kept you stuck. You couldn't — or wouldn't — choose, and the stalemate cost you time.","En avgjørelse ble utsatt, og stillstanden tvang deg til å sitte med ubehaget. Den perioden med blindhet lærte deg at å ikke velge også er et valg."
"readings","readings.swords-2.present","You're avoiding a decision. The two options aren't going to resolve themselves. Remove the blindfold and choose.","Du holder to motstridende sannheter i balanse og nekter å velge. Ta av bindene. Ubehaget ved å velge er ingenting mot ubehaget ved å stå stille."
"readings","readings.swords-2.future","A difficult choice is ahead. The temptation will be to avoid it, to stay balanced between two sides. Don't. Choose and move.","En beslutning du har unngått vil tvinge seg frem. Jo lenger du venter, jo tyngre blir sverdene. Velg før valget blir tatt for deg."
"readings","readings.swords-3.keywords","heartbreak, sorrow, grief, painful truth","hjertebrudd, sorg, smerte, svik"
"readings","readings.swords-3.meaning","Three swords through a heart. There's no gentle way to read this — it's pain. Heartbreak, betrayal, a truth that cuts. But the rain clears. This is the wound, not the whole story.","Sverdenes treer treffer rett i hjertet. Smerte, svik, sorg — dette er rått og ekte. Det er ikke tid for å pynte på det. Anerkjenn smerten slik at den kan begynne å hele."
"readings","readings.swords-3.past","A deep hurt — betrayal, heartbreak, or a painful truth — left its mark. The wound may have healed, but the scar taught you something.","Et hjertebrudd eller svik etterlot et arr som fortsatt merkes. Den smerten var formende — den lærte deg noe om tillit, sårbarhet eller dine egne grenser."
"readings","readings.swords-3.present","Something is causing real pain. Don't minimize it or rush past it. Feel it fully, then let it begin to heal.","Noe har gjort vondt, og det er ingen snarvei rundt det. Kjenn på smerten, ikke flykt. Helbredelse begynner med å anerkjenne det som faktisk skjedde."
"readings","readings.swords-3.future","A painful experience is ahead. It will hurt, but it will also be honest. Better a clean cut than a slow rot.","En smertefull sannhet eller et tap kan ligge foran. Det vil gjøre vondt, men det vil også rense. Det som brytes ned nå gjør plass for noe sterkere."
"readings","readings.swords-4.keywords","rest, recovery, contemplation, retreat","hvile, restitusjon, tilbaketrekning, mental pause"
"readings","readings.swords-4.meaning","A figure lies on a stone slab, three swords on the wall, one beneath. Rest after battle. This isn't laziness — it's necessary recovery. Put down the sword. Your mind needs silence.","Sverdenes firer ligger i stille hvile — sverdene hengt opp, hendene foldet. Etter kamp trenger sinnet ro. Dette er ikke latskap, det er nødvendig restitusjon."
"readings","readings.swords-4.past","A period of forced or chosen rest followed a difficult time. That pause was more productive than it felt — the mind healed in the quiet.","En periode med påtvunget eller valgt hvile ga sinnet ditt muligheten til å hele. Den stillheten var ikke dødtid — den var gjenoppbygging."
"readings","readings.swords-4.present","Rest. You've been fighting — mentally, emotionally, or both. The battle can wait. Recover your strength before the next round.","Du trenger pause. Sinnet ditt har jobbet for hardt, og fortsatt press vil ikke gi klarhet. Legg ned sverdene. Hvil. Svarene kommer når du har sovet på det."
"readings","readings.swords-4.future","A period of necessary retreat is coming. Don't resist it. The recovery will prepare you for what follows.","En periode med nødvendig hvile og mental restitusjon nærmer seg. Ikke kjemp imot den — sinnet ditt forbereder seg på noe som krever at du er uthvilt."
"readings","readings.swords-5.keywords","conflict, defeat, hostility, winning at cost","konflikt, nederlag, uærlighet, rivalisering"
"readings","readings.swords-5.meaning","Five swords, a smirking victor, defeated figures walking away. Someone won — but at what cost? This card asks: was the victory worth the damage? Winning isn't always winning.","Sverdenes femmer viser en seier som smaker bittert. Noen vinner, men til hvilken pris? Konflikt, manipulasjon, kanskje uærlighet. Spør deg selv om kampen faktisk er verdt å vinne."
"readings","readings.swords-5.past","A conflict left wreckage. Someone won, someone lost, and the aftermath was bitter. The victory may have cost more than it was worth.","En konflikt eller et nederlag etterlot en bitter smak. Enten du vant eller tapte — lærdommen handlet om hva som ofres i kamp."
"readings","readings.swords-5.present","A conflict is playing out. Before you fight to win, ask yourself what you're actually gaining — and what you're destroying in the process.","Konflikt pågår, og ikke alle spiller rettferdig. Velg kampene dine. Noen seiere koster mer enn de er verdt, og noen nederlag er faktisk befrielse."
"readings","readings.swords-5.future","A confrontation is ahead. Pick your battles carefully. Some fights aren't worth the prize, and some victories leave you emptier than defeat.","En konflikt eller maktspill nærmer seg. Vær strategisk, ikke naiv. Kjenn forskjellen på en kamp verdt å ta og en du bør la ligge."
"readings","readings.swords-6.keywords","transition, moving on, leaving behind, recovery","overgang, endring, forlate det vanskelige, gradvis bedring"
"readings","readings.swords-6.meaning","A boatman carries passengers and six swords across calm water. Moving away from something difficult — not running, but deliberately leaving rough waters behind. The journey isn't over, but the worst is.","Sverdenes sekser seiler mot roligere farvann. Etter storm og konflikt — en nødvendig overgang. Det er ikke over ennå, men det verste er bak deg. Hold kursen."
"readings","readings.swords-6.past","You moved on from a painful situation. The departure was quiet and necessary — carrying your burdens to calmer shores.","Du forlot en vanskelig situasjon og beveget deg mot tryggere grunn. Den overgangen — kanskje sakte og smertefull — var begynnelsen på noe bedre."
"readings","readings.swords-6.present","It's time to leave a difficult situation behind. Not dramatically — just get in the boat and go. Calmer waters are ahead.","Du er i bevegelse bort fra det vanskelige. Det er ikke umiddelbar lettelse, men retningen er riktig. Fortsett å ro — roligere vann er foran."
"readings","readings.swords-6.future","A transition away from difficulty is coming. It will be gradual, not sudden, but the direction is toward peace.","En overgang til roligere tider er på vei. Etter det du har vært gjennom, vil vannet snart bli stillere. Reisen er ikke over, men det verste er passert."
"readings","readings.swords-7.keywords","deception, strategy, stealth, getting away with it","bedrag, strategi, uortodoks tilnærming, skjulte motiver"
"readings","readings.swords-7.meaning","A figure sneaks away with five swords, two still planted in the ground. Cleverness or theft? Strategy or deception? This card doesn't judge — it just asks: are you being smart, or are you being dishonest?","Sverdenes syver sniker seg av gårde med noe som kanskje ikke tilhører ham. List, strategi, skjulte motiver. Noen ganger er det deg — noen ganger er det noen rundt deg. Se skarpt."
"readings","readings.swords-7.past","Someone took a shortcut — maybe you, maybe someone else. It worked at the time, but the ethics of it still linger.","En situasjon krevde uortodoks tenkning — eller noen lurte deg. Uansett lærte du at ikke alle spiller åpent, og at strategi noen ganger slår ærlig kraft."
"readings","readings.swords-7.present","Check your strategy. There's a fine line between clever and deceptive. If you have to sneak, ask yourself why.","Noe er ikke helt som det ser ut. Sjekk motivene — dine egne og andres. Strategi er greit, men vit hvor grensen mellom kløkt og bedrag går."
"readings","readings.swords-7.future","Someone may not be playing straight with you — or you'll be tempted to cut corners. Keep your integrity intact, even when nobody's watching.","En situasjon som krever strategisk tenkning nærmer seg. Vær klok, men ærlig. Veien som ser ut som en snarvei kan koste deg mer enn den sparer."
"readings","readings.swords-8.keywords","restriction, imprisonment, powerlessness, self-imposed limits","begrensning, fangenskap, maktesløshet, offerrolle"
"readings","readings.swords-8.meaning","Eight swords surround a bound, blindfolded figure. It looks hopeless — but look closer. The bindings are loose. The path out is open. The prison is mostly in the mind.","Sverdenes åtter står bundet og med bind for øynene, omgitt av sverd. Fanget — men mer i sinnet enn i virkeligheten. Begrensningene du føler er mer selvpålagte enn du tror."
"readings","readings.swords-8.past","You felt trapped — by circumstances, by people, by your own thoughts. But the cage was never as locked as it seemed.","Du følte deg fanget i en situasjon som virket umulig å komme ut av. Den følelsen av maktesløshet var reell, men hindringene var ofte mer mentale enn fysiske."
"readings","readings.swords-8.present","You're more stuck in your head than in reality. The restrictions you're feeling are at least partly self-imposed. Open your eyes — the way out exists.","Du føler deg bundet, men tauene er løsere enn du tror. Det som holder deg fast er tankemønstre, ikke faktiske murer. Begynn å røre deg — du kan komme deg ut."
"readings","readings.swords-8.future","A situation will make you feel powerless. Before you accept defeat, look again. The constraints aren't as real as they appear.","En følelse av fangenskap kan komme, men husk: det meste av det som binder er illusjon. Øyeblikket du innser det, begynner frigjøringen."
"readings","readings.swords-9.keywords","anxiety, worry, nightmares, despair","angst, mareritt, bekymring, nattlig uro"
"readings","readings.swords-9.meaning","A figure sits up in bed, head in hands, nine swords on the wall behind them. The three AM card. Anxiety, racing thoughts, the kind of worry that wakes you up. Most of what you fear won't happen — but the fear is real.","Sverdenes nier sitter oppreist i sengen, hodet i hendene, sverdene hengende over. Angst, søvnløse netter, bekymringer som kverner. Det meste av det du frykter vil aldri skje — men frykten er virkelig nok."
"readings","readings.swords-9.past","A period of intense worry or sleepless nights took its toll. The anxiety was disproportionate to the actual threat, but it felt crushing at the time.","En periode med intens angst eller bekymring holdt deg våken. De mentale sverdene var skarpe, men de fleste av dem traff aldri. Leksjonen: sinnet kan være sin egen fiende."
"readings","readings.swords-9.present","Your mind is torturing you. The fears feel enormous in the dark — but most of them are shadows. Daylight will shrink them. Hold on.","Bekymringene tynger, og nettene er lange. Men se nøye — mye av det du frykter er mentale konstruksjoner. Skille det virkelige fra det innbilte. Snakk med noen."
"readings","readings.swords-9.future","Anxiety may spike ahead. Remember: the nine swords are on the wall, not in your body. The fear is real, but the danger may not be.","En periode med mental uro kan nærme seg. Forbered deg ved å bygge verktøy for å håndtere angst. Det verste scenariet i hodet ditt er sjelden det som faktisk skjer."
"readings","readings.swords-10.keywords","ending, rock bottom, betrayal, total defeat","bunn, slutt på lidelse, total overgivelse, ny start"
"readings","readings.swords-10.meaning","Ten swords in the back — the most dramatic card in the deck. Complete ending, total defeat. But here's the thing: after ten swords, there are no more swords. The worst is over. There's nowhere to go but up.","Sverdenes tier ligger med ansiktet ned, ti sverd i ryggen. Bunnen er nådd. Det er brutalt, men det er også over — det kan bare gå oppover herfra. Solen stiger ved horisonten."
"readings","readings.swords-10.past","Something ended catastrophically. Betrayal, collapse, hitting the absolute bottom. It was terrible — and it was the end of that chapter, not your story.","Du nådde et absolutt bunnpunkt. Den erfaringen var knusende, men den markerte også slutten. Fra det punktet begynte alt å bevege seg oppover."
"readings","readings.swords-10.present","This is the worst of it. Right now. The good news is that it can't get worse, which means it can only get better. Let the old thing die completely.","Det føles som alt har kollapset. Men legg merke til dette: solen stiger. Det verste er over. Du trenger ikke kjempe mer — bare overgi deg og la en ny start komme."
"readings","readings.swords-10.future","A painful ending is ahead. It will feel like too much. But this is the clearing — dramatic, final, and ultimately liberating.","En vanskelig avslutning kan ligge foran, men den bringer med seg frihet. Noen ganger må alt falle for at noe helt nytt skal kunne bygges. Bunnen er bare et vendepunkt."
"readings","readings.swords-page.keywords","curiosity, mental agility, new ideas, vigilance","nysgjerrighet, ny idé, årvåkenhet, ærlig tale"
"readings","readings.swords-page.meaning","A young figure holds a sword aloft, standing on rough ground, watching the sky. Sharp mind, restless curiosity, eager to cut through to the truth. Just needs a bit more experience to wield the blade well.","Sverdenes page holder sverdet med iver og nysgjerrighet — klar til å skjære gjennom, ivrig etter sannhet. En ny idé, et nytt perspektiv, en villighet til å stille de vanskelige spørsmålene."
"readings","readings.swords-page.past","A moment of intellectual awakening — a new idea or a challenging truth that got your mind racing. That curiosity opened doors.","Et øyeblikk av intellektuell oppdagelse eller ærlig konfrontasjon åpnet øynene dine. Den skarpe nysgjerrigheten du viste den gangen er fortsatt et av dine sterkeste verktøy."
"readings","readings.swords-page.present","Stay mentally sharp. New information is coming and you'll need to think fast. Be curious, be alert, but don't jump to conclusions.","En ny idé eller innsikt banker på. Vær skarp, vær nysgjerrig, vær villig til å si det ingen andre sier. Sannheten trenger en stemme — la det være din."
"readings","readings.swords-page.future","News or a new perspective is on its way. It will challenge your thinking — in a good way. Stay open and keep your mind nimble.","Et budskap eller en innsikt av mental karakter er på vei. Hold sinnet åpent og skarpt — det som kommer kan endre hvordan du tenker om ting."
"readings","readings.swords-knight.keywords","ambition, speed, direct action, aggression","handlekraft, intellektuell energi, hastverk, direkte tale"
"readings","readings.swords-knight.meaning","The Knight of Swords charges at full speed, blade raised, no hesitation. Fast thinking, fast action, decisive and unstoppable. Effective — but sometimes the charge happens before the thinking.","Sverdenes ridder stormer fremover med sverdet hevet — rask, direkte, noen ganger hensynsløs. Intellektuell kraft i bevegelse. Effektivt, men pass på at du ikke kutter ned det du burde spart."
"readings","readings.swords-knight.past","A rushed decision or aggressive action got results — but not without collateral damage. Speed is a strength until it isn't.","En periode med rask, avgjørende handling — eller noen som stormet inn med klar tale og skarpe meninger — preget retningen din. Den kraften var effektiv, men kanskje ikke alltid nennsom."
"readings","readings.swords-knight.present","Move quickly and decisively. The situation calls for sharp action, not deliberation. Just make sure you're charging toward the right target.","Handle raskt og avgjørende. Situasjonen krever direkte kommunikasjon og intellektuell styrke. Men temper hastverket — noen ganger gjør fart at du overser viktige detaljer."
"readings","readings.swords-knight.future","Something will demand fast, decisive action. You'll need to think and move simultaneously. Trust your instincts but watch your aim.","En rask, avgjørende kraft er på vei inn i livet ditt. Enten det er deg selv eller noen andre — det vil skje fort. Vær klar, men vær også forberedt på at det kan rokke ved ting."
"readings","readings.swords-queen.keywords","clarity, independence, perception, direct communication","klarhet, uavhengighet, skarpt intellekt, grensesetting"
"readings","readings.swords-queen.meaning","The Queen of Swords sits with blade raised, face clear and unreadable. She's been through pain and emerged sharper for it. Clear thinking, direct speech, zero tolerance for nonsense.","Sverdenes dronning sitter med klar blikk og løftet sverd. Skarp tanke, emosjonell uavhengighet og evnen til å se gjennom alt vrøvl. Hun skjærer bort det unødvendige med kirurgisk presisjon."
"readings","readings.swords-queen.past","Experience — likely painful — honed your ability to see through pretense. That clarity was earned the hard way and it serves you well.","En skarp, uavhengig tilnærming — din egen eller noen andres — skar gjennom emosjonelt kaos og ga klarhet. Den intellektuelle ærligheten var smertelig, men nødvendig."
"readings","readings.swords-queen.present","Think clearly. Speak directly. The situation needs honesty, not diplomacy. Cut through the noise and say exactly what you mean.","Tenk klart. Fjern emosjonelt støy og se saken for hva den er. Sett grenser uten unnskyldning. Din skarpe tanke er din mest verdifulle ressurs akkurat nå."
"readings","readings.swords-queen.future","You'll need to channel cold clarity ahead. Emotions will be running high around you, but your ability to see the truth plainly will be your greatest asset.","En situasjon som krever klarhet og emosjonell uavhengighet nærmer seg. Du vil trenge evnen til å se gjennom illusjoner og kommunisere sannheten direkte."
"readings","readings.swords-king.keywords","authority, intellect, truth, analytical power","intellektuell autoritet, rettferdighet, klar kommunikasjon, objektivitet"
"readings","readings.swords-king.meaning","The King of Swords holds his blade upright — judgment, authority, intellectual command. He makes decisions with his head, not his heart. Fair, sharp, and not easily fooled.","Sverdenes konge dømmer med klar logikk og rettferdig autoritet. Emosjonene legges til side til fordel for sannhet og rettferdighet. Noen ganger er den vennligste handlingen å være brutalt ærlig."
"readings","readings.swords-king.past","An authority figure or your own analytical mind cut through confusion and imposed order. That intellectual clarity shaped outcomes decisively.","En autoritetsfigur eller en periode der klar logikk styrte, formet din tilnærming til sannhet og rettferdighet. Den intellektuelle disiplinen har blitt en del av deg."
"readings","readings.swords-king.present","Lead with logic. The situation demands clear, rational thinking and fair judgment. Leave emotion at the door and decide with your mind.","Situasjonen krever objektiv tenkning og klar kommunikasjon. Legg følelsene til side for nå — sannheten tjener deg bedre enn trøst. Vær rettferdig, vær klar, vær direkte."
"readings","readings.swords-king.future","A decision requiring sharp intellect and impartial judgment is ahead. Trust your analytical ability — it's up to the task.","En rolle som krever intellektuell autoritet og rettferdighet nærmer seg. Din evne til å tenke klart og kommunisere presist vil bli satt på prøve — og bevist."
"readings","readings.pentacles-1.keywords","opportunity, prosperity, new venture, manifestation","ny mulighet, velstand, materiell start, potensial"
"readings","readings.pentacles-1.meaning","A golden coin in an outstretched hand, emerging from a cloud. A material opportunity — money, a job, a venture. It's being offered, but you'll need to do something with it. Potential doesn't spend itself.","Pentaklenes ess holder en gyllen mynt i en åpen hånd — en ny materiell mulighet. Arbeid, penger, helse, noe konkret og verdifullt som tilbys. Grip det."
"readings","readings.pentacles-1.past","An opportunity presented itself — financial, professional, or material. What you did with that seed determined a lot about where you are now.","En materiell mulighet ble gitt, og det du gjorde med den la grunnlaget for der du er nå. Den begynnelsen — uansett hvor liten — var reell og verdifull."
"readings","readings.pentacles-1.present","A tangible opportunity is in your hands. A new venture, a financial prospect, something solid. Don't just admire it — plant it.","En ny mulighet av materiell karakter tilbys deg. Det kan være en jobb, et prosjekt, en investering. Det er solid og ekte — ta imot det og bygg på det."
"readings","readings.pentacles-1.future","A material opportunity is coming. Money, work, or a practical venture. Be ready to act on it when it arrives.","En verdifull materiell mulighet nærmer seg. Hold øynene åpne og hendene klare — det som kommer har konkret verdi og potensial for vekst."
"readings","readings.pentacles-2.keywords","balance, adaptability, juggling priorities, time management","balansering, prioritering, tilpasning, sjonglering"
"readings","readings.pentacles-2.meaning","Two coins juggled in a figure-eight — the infinity loop. Multiple demands, limited hands. This card is about managing competing priorities without dropping anything. Flexible, but stretched.","Pentaklenes toer jonglerer to mynter i en evig dans. Balanse mellom forpliktelser, ressurser, prioriteringer. Du har mye i luften — og det krever ferdighet å holde det gående."
"readings","readings.pentacles-2.past","You juggled multiple demands and somehow kept everything in the air. That balancing act was exhausting but taught you adaptability.","Du jonglerte mange forpliktelser og klarte på et vis å holde balansen. Den erfaringen med å tilpasse seg og prioritere har gjort deg mer fleksibel enn du tror."
"readings","readings.pentacles-2.present","You're managing too many things at once. It's working for now, but something will drop if you don't prioritize. Choose what matters most.","Du balanserer mye akkurat nå. Ikke prøv å gjøre alt perfekt — fokuser på å holde de viktigste ballene i luften. Fleksibilitet slår perfeksjon."
"readings","readings.pentacles-2.future","Multiple demands will compete for your attention. You'll need to be flexible and strategic about where your energy goes.","En periode med økt sjonglering er på vei. Nye forpliktelser vil kreve at du prioriterer skarpt. Du er mer kapabel enn du tror — stol på evnen din til å tilpasse deg."
"readings","readings.pentacles-3.keywords","teamwork, craftsmanship, collaboration, skill building","håndverk, mestring, samarbeid, kvalitetsarbeid"
"readings","readings.pentacles-3.meaning","Three figures working on a cathedral — each contributing their skill to something larger. Collaboration, craftsmanship, the satisfaction of building something real with others. The work matters.","Pentaklenes treer arbeider med flid og presisjon — mester i sitt fag. Kvalitetsarbeid, samarbeid, å bygge noe som varer. Ferdighetene dine blir lagt merke til."
"readings","readings.pentacles-3.past","Collaboration produced something lasting. Working alongside others — each bringing their skills — created something none of you could have built alone.","En periode med hardt, dedikert arbeid la et håndverksmessig fundament. Det du bygde med omsorg og ferdighet viser fortsatt sin kvalitet."
"readings","readings.pentacles-3.present","This is teamwork time. Bring your skills to the table and trust others to bring theirs. The project is bigger than any one person.","Nå handler det om å gjøre jobben ordentlig. Kutt ikke hjørner. Samarbeid med andre, utvikl ferdighetene dine, bygg noe du kan være stolt av. Kvalitet lønner seg."
"readings","readings.pentacles-3.future","A collaborative effort is forming. Your specific skills will be valued and needed. The work ahead is meaningful — commit to it.","Anerkjennelse for arbeidet ditt er på vei. Ferdighetene du utvikler nå blir lagt merke til, og det åpner dører du ikke forventet."
"readings","readings.pentacles-4.keywords","security, control, possessiveness, hoarding","trygghet, kontroll, gjerrighet, å holde fast"
"readings","readings.pentacles-4.meaning","A figure clutches four coins — one under each foot, one on the head, one in the arms. Holding on tight. Security is good, but this is grip, not stewardship. What are you so afraid of losing?","Pentaklenes firer klamrer seg til myntene sine med jerngrep. Sikkerhet og stabilitet — men til hvilken pris? Noen ganger blir behovet for kontroll til et fengsel. Vurder hva du mister ved å holde så hardt."
"readings","readings.pentacles-4.past","A period of holding on too tightly — to money, to security, to control. The fear of loss made you rigid when flexibility was needed.","En periode med sterk kontroll over ressurser ga trygghet, men begrenset også flyten. Du lærte at sikkerhet er verdifullt — men at å klamre seg fast kveler vekst."
"readings","readings.pentacles-4.present","You're gripping too hard. The desire for security has become possessiveness. Loosen your hold — what's truly yours won't leave.","Du holder for hardt. Behovet for sikkerhet er forståelig, men se om du stenger ute muligheter sammen med risiko. Noen ganger er det tryggeste du kan gjøre å slippe litt."
"readings","readings.pentacles-4.future","Be careful of becoming too attached to material security. Some generosity or openness will serve you better than a clenched fist.","En situasjon vil utfordre forholdet ditt til kontroll og sikkerhet. Å holde fast vil ikke tjene deg — vurder hva du kan slippe for å la noe nytt vokse."
"readings","readings.pentacles-5.keywords","hardship, poverty, isolation, worry","mangel, vanskeligheter, utenforskap, materiell krise"
"readings","readings.pentacles-5.meaning","Two figures in the snow, barefoot, passing a lit church window. Material hardship, feeling left out in the cold. The help may be closer than it looks — but you have to be willing to ask for it.","Pentaklenes femmer viser to skikkelser ute i kulden, forbigått. Materiell mangel, følelsen av å være utenfor, vanskelige tider. Men legg merke til lyset i vinduet — hjelp finnes, om du ber om den."
"readings","readings.pentacles-5.past","A period of real hardship — financial, physical, or both. The isolation was painful, and recovery took time and humility.","En periode med materiell vanskelighet eller utenforskap preget deg. Den erfaringen var hard, men den lærte deg noe om hva som virkelig betyr noe — og hvem som stiller opp."
"readings","readings.pentacles-5.present","Things are lean right now. You may feel left out in the cold. But look around — support exists. Pride might be the only thing keeping you from it.","Ting er trangt. Ressurser, helse, eller tilhørighet føles mangelfull. Men se deg rundt — støtte er tilgjengelig, selv om stolthet kan gjøre det vanskelig å be om hjelp."
"readings","readings.pentacles-5.future","A difficult stretch is ahead materially. Prepare where you can, and don't be too proud to ask for help when you need it.","En periode med materiell utfordring kan ligge foran. Forbered deg der du kan, men viktigst — vit at det er midlertidig. Hjelp vil finnes for den som søker den."
"readings","readings.pentacles-6.keywords","generosity, charity, giving, receiving, balance of resources","generøsitet, deling, balanse i gi og ta, velgjørenhet"
"readings","readings.pentacles-6.meaning","A wealthy figure distributes coins to those in need — scales in one hand, coins in the other. Giving and receiving, the flow of resources. This card asks: are you the giver or the receiver? Either is fine.","Pentaklenes sekser deler ut mynter — noen mottar, noen gir. Generøsitet, velgjørenhet, balansen mellom å gi og å motta. Ekte rikdom måles i hva du deler, ikke hva du hamstrer."
"readings","readings.pentacles-6.past","An act of generosity — given or received — made a real difference. That exchange of resources was more meaningful than the amount suggested.","En erfaring med å gi eller motta generøsitet preget verdiene dine. Enten du var giveren eller mottakeren — den utvekslingen lærte deg noe om ekte verdi."
"readings","readings.pentacles-6.present","Resources are flowing. If you have enough, share. If you need help, accept it gracefully. The balance of giving and receiving is the point.","Vurder balansen mellom å gi og å ta i livet ditt. Generøsitet kaller — men vær sikker på at flyten går begge veier. Sunn utveksling nærer begge parter."
"readings","readings.pentacles-6.future","Generosity will play a role ahead — either yours or someone else's. The flow of resources is shifting in a direction that benefits you.","En mulighet til å gi eller motta noe verdifullt nærmer seg. Vær åpen for begge retninger — ekte velstand handler om flyt, ikke opphoping."
"readings","readings.pentacles-7.keywords","patience, perseverance, investment, long-term view","tålmodighet, investering, langsiktig arbeid, evaluering"
"readings","readings.pentacles-7.meaning","A figure leans on a hoe, looking at seven coins growing on a bush. Waiting. The investment has been made, the work has been done — now it's about patience. You can't rush a harvest.","Pentaklenes syver lener seg på spaden og ser på det som vokser. Frøene er sådd, men høsten er ikke ennå. Tålmodighet. Vurder om innsatsen gir den avkastningen du forventet."
"readings","readings.pentacles-7.past","A long investment of time and effort eventually bore fruit. The waiting was hard, but the result proved it was worth it.","Du investerte tid og krefter i noe langsiktig. Noen ganger ga det uttelling, andre ganger ikke. Uansett lærte du verdien av tålmodighet og å evaluere underveis."
"readings","readings.pentacles-7.present","The seeds are planted, the work is done. Now you wait. Don't dig up the garden to check if it's growing — trust the process.","Du har jobbet hardt, og nå er det naturlig å stoppe opp og vurdere. Gir dette det du håpet? Om ikke — juster kursen. Om ja — vær tålmodig, det modnes."
"readings","readings.pentacles-7.future","A reward is coming, but not immediately. The investment you're making now — in work, in skills, in patience — will pay off. Give it time.","Resultatene av langsiktig innsats begynner å vise seg. Det kan ta tid, men det som er plantet med omhu bærer frukt. Fortsett — ikke gi opp nå."
"readings","readings.pentacles-8.keywords","diligence, skill development, craftsmanship, dedication","dedikasjon, ferdighetsutvikling, flid, mesterskap"
"readings","readings.pentacles-8.meaning","A figure carefully carves coin after coin — focused, skilled, methodical. This is the apprentice card. Mastery through repetition, improvement through dedication. The work isn't glamorous, but it's building something real.","Pentaklenes åtter sitter bøyd over arbeidsbenken og skaper mynt etter mynt med tålmodig presisjon. Dedikert arbeid, ferdighetsutvikling, den stille tilfredsheten ved å mestre et fag."
"readings","readings.pentacles-8.past","A period of dedicated practice and skill-building laid the foundation for your abilities. That diligence — day after day — created real competence.","En periode med intens dedikasjon og ferdighetsbygging formet evnene dine. Det møysommelige arbeidet var ikke glamorøst, men det la et solid grunnlag."
"readings","readings.pentacles-8.present","Put your head down and do the work. This isn't the time for shortcuts or big leaps — it's the time for steady, focused effort. Mastery comes from repetition.","Arbeid nøyaktig og tålmodig. Mesterskap kommer ikke over natten — det bygges mynt for mynt. Ikke se deg blindt på resultater, men gled deg over prosessen."
"readings","readings.pentacles-8.future","A period of intense skill-building is ahead. It will require dedication and focus, but the competence you develop will be a lasting asset.","Ferdighetene du utvikler nå er i ferd med å bli virkelig verdifulle. Fortsett det dedikerte arbeidet — mesterskapet nærmer seg, og det vil åpne dører."
"readings","readings.pentacles-9.keywords","luxury, self-sufficiency, financial security, accomplishment","overflod, selvstendighet, luksus, velfortjent suksess"
"readings","readings.pentacles-9.meaning","A figure stands in a lush garden, a bird on her hand, nine coins behind her. She built this. Self-made comfort, material security earned through effort. Enjoy what you've created.","Pentaklenes nier står i en frodig hage omgitt av modenhet og overflod. Selvstendighet, materiell komfort, velfortjent suksess. Du har bygget dette — nyt det uten skyldfølelse."
"readings","readings.pentacles-9.past","Through your own effort, you created comfort and security. That self-sufficiency was hard-won and deserved.","En tid med materiell suksess og selvstendighet viste deg hva hardt arbeid kan føre til. Den overfloden du oppnådde var velfortjent og formende."
"readings","readings.pentacles-9.present","You've built something solid. Take a moment to enjoy the garden you've cultivated. Self-sufficiency feels good — let yourself appreciate it.","Se deg rundt — du har mer enn du gir deg selv kredit for. Nyt det du har bygget. Selvstendighet og komfort er ikke grådighet, det er frukten av innsats."
"readings","readings.pentacles-9.future","Financial security and comfort are building. What you've been working toward is materializing. The garden is almost in full bloom.","Materiell suksess og selvstendighet er på vei. Det du har investert tid og energi i begynner å gi avkastning. Du fortjener det."
"readings","readings.pentacles-10.keywords","legacy, inheritance, family wealth, long-term success","arv, familie, varig velstand, generasjoner"
